# Wavelength   Rlam
128.57490 47.24128
128.63221 47.23918
128.68954 47.23708
128.74691 47.23499
128.80429 47.23289
128.86171 47.23079
128.91915 47.22869
128.97661 47.22658
129.03410 47.22448
129.09162 47.22238
129.14916 47.22027
129.20672 47.21817
129.26432 47.21606
129.32194 47.21396
129.37958 47.21185
129.43725 47.20974
129.49494 47.20763
129.55267 47.20552
129.61041 47.20340
129.66818 47.20129
129.72598 47.19918
129.78381 47.19706
129.84166 47.19495
129.89953 47.19283
129.95743 47.19071
130.01536 47.18859
130.07331 47.18647
130.13129 47.18435
130.18930 47.18223
130.24733 47.18011
130.30538 47.17799
130.36347 47.17586
130.42158 47.17374
130.47971 47.17161
130.53787 47.16948
130.59606 47.16736
130.65427 47.16523
130.71251 47.16310
130.77077 47.16097
130.82906 47.15883
130.88737 47.15670
130.94572 47.15457
131.00408 47.15243
131.06248 47.15030
131.12090 47.14816
131.17934 47.14602
131.23782 47.14389
131.29631 47.14175
131.35484 47.13961
131.41339 47.13746
131.47196 47.13532
131.53057 47.13318
131.58919 47.13103
131.64785 47.12889
131.70653 47.12674
131.76524 47.12460
131.82397 47.12245
131.88273 47.12030
131.94151 47.11815
132.00033 47.11600
132.05916 47.11385
132.11803 47.11169
132.17692 47.10954
132.23583 47.10738
132.29478 47.10523
132.35375 47.10307
132.41274 47.10091
132.47176 47.09876
132.53081 47.09660
132.58989 47.09444
132.64899 47.09227
132.70811 47.09011
132.76727 47.08795
132.82645 47.08578
132.88565 47.08362
132.94489 47.08145
133.00414 47.07929
133.06343 47.07712
133.12274 47.07495
133.18208 47.07278
133.24144 47.07061
133.30083 47.06843
133.36025 47.06626
133.41970 47.06409
133.47917 47.06191
133.53866 47.05974
133.59819 47.05756
133.65774 47.05538
133.71731 47.05320
133.77692 47.05102
133.83655 47.04884
133.89620 47.04666
133.95589 47.04448
134.01560 47.04229
134.07533 47.04011
134.13509 47.03792
134.19488 47.03574
134.25470 47.03355
134.31454 47.03136
134.37441 47.02917
134.43431 47.02698
134.49423 47.02479
134.55418 47.02260
134.61416 47.02040
134.67416 47.01821
134.73419 47.01601
134.79425 47.01382
134.85433 47.01162
134.91444 47.00942
134.97458 47.00722
135.03474 47.00502
135.09493 47.00282
135.15515 47.00062
135.21539 46.99841
135.27566 46.99621
135.33596 46.99400
135.39628 46.99180
135.45664 46.98959
135.51701 46.98738
135.57742 46.98517
135.63785 46.98296
135.69831 46.98075
135.75880 46.97854
135.81931 46.97633
135.87985 46.97411
135.94042 46.97190
136.00101 46.96968
136.06163 46.96746
136.12228 46.96525
136.18296 46.96303
136.24366 46.96081
136.30439 46.95859
136.36514 46.95636
136.42593 46.95414
136.48674 46.95192
136.54758 46.94969
136.60844 46.94747
